Locality,FIPS.x,Cases,Deaths,FIPS.y,Population
Accomack,51001,909,12,1,"32,973"
Albemarle,51003,187,8,3,"105,703"
Alexandria,51510,1974,44,510,"147,391"
Alleghany,51005,20,2,5,"15,677"
Amelia,51007,25,1,7,"12,903"
Amherst,51009,27,1,9,"31,914"
Appomattox,51011,31,0,11,"15,414"
Arlington,51013,2116,115,13,"229,164"
Augusta,51015,109,1,15,"74,314"
Bath,51017,0,0,17,"4,470"
Bedford,51019,57,2,19,"77,724"
Bland,51021,0,0,21,"6,561"
Botetourt,51023,32,4,23,"33,347"
Bristol,51520,4,0,520,"17,367"
Brunswick,51025,25,1,25,"16,698"
Buchanan,51027,19,0,27,"22,776"
Buckingham,51029,459,3,29,"17,032"
Buena Vista City,51530,13,0,NA,NA
Campbell,51031,18,1,31,"55,086"
Caroline,51033,67,2,33,"29,984"
Carroll,51035,96,1,35,"29,724"
Charles City,51036,27,1,36,"7,040"
Charlotte,51037,23,0,37,"12,201"
Charlottesville,51540,116,3,540,"45,049"
Chesapeake,51550,521,15,550,"222,209"
Chesterfield,51041,1548,36,41,"335,687"
Clarke,51043,27,0,43,"14,363"
Colonial Heights,51570,95,17,570,"16,897"
Covington,51580,4,0,580,"6,303"
Craig,51045,5,0,45,"5,211"
Culpeper,51047,691,6,47,"49,432"
Cumberland,51049,37,0,49,"9,719"
Danville,51590,55,2,590,"48,411"
Dickenson,51051,0,0,51,"15,115"
Dinwiddie,51053,80,0,53,"27,852"
Emporia,51595,79,5,595,"5,665"
Essex,51057,48,0,57,"11,130"
Fairfax,51059,11110,383,59,"1,142,234"
Fairfax,51059,11110,383,600,"21,498"
Fairfax City,51600,65,6,NA,NA
Falls Church,51610,55,8,610,"12,332"
Fauquier,51061,315,6,61,"68,782"
Floyd,51063,6,0,63,"15,651"
Fluvanna,51065,92,6,65,"26,235"
Franklin City,51620,42,2,NA,NA
Franklin County,51067,36,2,NA,NA
Frederick,51069,349,4,69,"83,199"
Fredericksburg,51630,164,0,630,"24,286"
Galax,51640,123,0,640,"6,837"
Giles,51071,8,0,71,"16,708"
Gloucester,51073,31,1,73,"37,143"
Goochland,51075,99,6,75,"22,253"
Grayson,51077,38,0,77,"16,012"
Greene,51079,34,1,79,"19,162"
Greensville,51081,73,7,81,"11,885"
Halifax,51083,30,0,83,"35,125"
Hampton,51650,207,3,650,"146,437"
Hanover,51085,326,24,85,"103,227"
Harrisonburg,51660,779,23,660,"40,468"
Henrico,51087,1820,133,87,"325,155"
Henry,51089,113,3,89,"51,881"
Highland,51091,3,0,91,"2,214"
Hopewell,51670,90,0,670,"22,354"
Isle of Wight,51093,128,3,93,"36,314"
James City,51095,205,16,95,"73,147"
King and Queen,51097,13,1,97,"7,158"
King George,51099,68,4,99,"25,515"
King William,51101,30,1,101,"16,269"
Lancaster,51103,10,0,103,"10,965"
Lee,51105,10,0,105,"24,742"
Lexington,51678,7,0,678,"6,867"
Loudoun,51107,2575,63,107,"375,629"
Louisa,51109,79,1,109,"34,602"
Lunenburg,51111,13,0,111,"12,299"
Lynchburg,51680,80,1,680,"65,269"
Madison,51113,41,1,113,"13,134"
Manassas City,51683,1092,10,NA,NA
Manassas Park,51685,305,6,685,"14,273"
Martinsville,51690,31,1,690,"15,416"
Mathews,51115,5,0,115,"8,862"
Mecklenburg,51117,217,21,117,"31,081"
Middlesex,51119,15,0,119,"10,606"
Montgomery,51121,77,1,121,"97,653"
Nelson,51125,17,0,125,"14,785"
New Kent,51127,36,2,127,"20,392"
Newport News,51700,273,10,700,"180,726"
Norfolk,51710,503,6,710,"245,782"
Northampton,51131,237,23,131,"12,155"
Northumberland,51133,25,1,133,"12,232"
Norton,51720,2,0,720,"3,904"
Nottoway,51135,29,0,135,"15,673"
Orange,51137,102,1,137,"35,385"
Page,51139,220,21,139,"23,726"
Patrick,51141,19,0,141,"18,045"
Petersburg,51730,134,3,730,"33,740"
Pittsylvania,51143,44,1,143,"62,194"
Poquoson,51735,8,0,735,"11,566"
Portsmouth,51740,308,11,740,"96,470"
Powhatan,51145,35,0,145,"28,031"
Prince Edward,51147,134,2,147,"22,952"
Prince George,51149,126,0,149,"37,862"
Prince William,51153,5533,104,153,"451,721"
Pulaski,51155,19,0,155,"34,332"
Radford,51750,7,0,750,"15,859"
Rappahannock,51157,13,0,157,"7,378"
Richmond City,51760,1316,24,NA,NA
Richmond County,51159,278,4,NA,NA
Roanoke City,51770,160,9,NA,NA
Roanoke County,51161,105,7,NA,NA
Rockbridge,51163,18,0,163,"22,354"
Rockingham,51165,518,6,165,"78,593"
Russell,51167,8,0,167,"27,891"
Salem,51775,34,3,775,"24,747"
Scott,51169,8,2,169,"22,126"
Shenandoah,51171,448,21,171,"43,190"
Smyth,51173,15,0,173,"31,470"
Southampton,51175,147,2,175,"18,109"
Spotsylvania,51177,556,7,177,"130,475"
Stafford,51179,713,4,179,"142,003"
Staunton,51790,45,0,790,"23,853"
Suffolk,51800,315,32,800,"63,677"
Surry,51181,10,1,181,"6,709"
Sussex,51183,154,2,183,"11,715"
Tazewell,51185,9,0,185,"42,899"
Virginia Beach,51810,708,23,810,"447,021"
Warren,51187,157,2,187,"39,083"
Washington,51191,51,4,191,"54,591"
Waynesboro,51820,46,0,820,"19,520"
Westmoreland,51193,65,1,193,"17,629"
Williamsburg,51830,44,4,830,"14,068"
Winchester,51840,189,2,840,"23,585"
Wise,51195,25,2,195,"39,718"
Wythe,51197,23,2,197,"29,119"
York,51199,74,3,199,"67,837"
